date,x,y,z,sigma_x,sigma_y,sigma_z,a_x,c_x,a_y,b_y,b_z,c_z,T_x,T_y,T_z,T_xyz,cov_xy,cov_xz,cov_yz,rho_xy,rho_yz,rho_xz
2025-01-16,,,-97.6135726,,,1.1928144931105529,,,,,2.589254833353713,1.0742794287878108,0,0,10728,0,,,,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-01-24,,,-94.2889667,,,1.319611958827306,,,,,2.6239840338010807,1.0541175522014328,0,0,9479,0,,,,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-02-04,,,-101.8064872,,,1.0002155943043285,,,,,2.6837954345715467,1.058907986220269,0,0,16167,0,,,,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-02-06,,,-100.3050774,,,1.2805887699916592,,,,,2.649066234124179,1.056352681944473,0,0,9824,0,,,,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-02-27,-120.8499096,-17.693233499999998,-104.235447,3.154720454410311,3.0089766799077147,1.091127414567156,0.6690363081044115,1.056304495260482,0.6690363081044115,2.625913433825934,2.625913433825934,1.056304495260482,12720,12675,14598,12144,8.54691267600668,0.43272818747483527,-0.5826092497126267,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-02-28,-111.8940138,-11.8683771,-99.7506615,2.8467474346018773,3.12536644912664,1.135108444053079,0.6779567922124704,1.0543245093925402,0.6779567922124704,2.604690033552544,2.604690033552544,1.0543245093925402,15700,14268,15324,13952,7.808009247640593,0.41000974142647234,-0.6653484304094275,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-03-04,-116.72031970000002,-16.2983309,-100.9064652,3.7225028298513054,3.696668233318769,1.009969939524047,0.6690363081044115,1.1682330464730224,0.6690363081044115,2.6124076336519577,2.6124076336519577,1.1682330464730224,12790,12965,16868,12630,12.706111853628176,0.45602334895697577,-0.6337912047199937,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-03-06,-122.1620834,-16.660146299999997,-104.0891853,3.830907446483889,3.7738686774690176,1.2324889436817033,0.6601158239963526,1.404025875711624,0.6601158239963526,2.5931136334034206,2.5931136334034206,1.404025875711624,9527,10042,12272,8834,12.29257852965218,0.544143748310316,-0.7357011242862288,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-03-07,-123.5990068,-26.1042272,-99.836377,3.020007870824285,4.302814067147831,1.3119931725633094,0.695797760428588,1.1772529646124426,0.695797760428588,2.596972433453128,2.596972433453128,1.1772529646124426,13829,8183,9587,7823,8.996377387903316,0.3797375475620585,-0.9910643102687082,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-03-13,-117.7521279,-15.7354356,-103.7288934,2.9877894340405016,3.7017664660182112,1.1355500955187767,1.6056871394505876,1.1120990287280008,1.6056871394505876,2.5931136334034206,2.5931136334034206,1.1120990287280008,14290,10638,10553,9161,7.736439329436715,0.3570280994897002,-0.7224074683460102,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-03-18,-115.9286587,-16.6966461,-101.5996545,6.835120342378754,5.672361564338718,1.2330329358642027,0.7136387286447057,1.0451606799220998,0.7136387286447057,2.5931136334034206,2.5931136334034206,1.0451606799220998,4180,4573,9757,3842,32.07480570284346,0.715219296251317,-0.7996117757250112,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-03-20,-120.5218978,-16.2701588,-104.0181025,2.9550400231461333,3.00025445928977,0.9304646996080002,0.6601158239963526,1.147938227173127,0.6601158239963526,2.650995634149033,2.650995634149033,1.147938227173127,13711,14740,13929,13167,7.730548870309051,0.3695412153608876,-0.5098918928576008,0.9414241704628324,-0.1987659510398775,0.1410611152686803
2025-03-21,-119.576439,-11.4573801,-104.9563786,2.9159492413894488,3.6264687384035046,1.1256022357916384,0.642274855780235,1.268960876738835,0.642274855780235,2.596972433453128,2.596972433453128,1.268960876738835,17430,11777,11206,11027,7.661972443690862,0.36530497940907325,-0.7787993925247582,0.9414241704628324,-0.1987659510398775,0.1410611152686803
